Accession	Organism_Name	Species	Genus	Family	Genotype	Isolate	Segment	Length	Country	Host	Tissue_Specimen_Source	Collection_Date	Release_Date	Molecule_type
PV389009	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36553563		6378	Netherlands	Solanum lycopersicum		2023-09-01	2025-12-10	ssRNA(+)
PV389010	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36654786		6366	Morocco	Solanum lycopersicum	fruit	2024-02-13	2025-12-10	ssRNA(+)
PV389011	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 36817960		6367	Netherlands	Solanum lycopersicum		2023-09-05	2025-12-10	ssRNA(+)
PV389012	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 40009077		6379	Egypt	Solanum lycopersicum	fruit	2024-01-22	2025-12-10	ssRNA(+)
PV389013	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 40021455		6361	Spain	Solanum lycopersicum	fruit	2024-01-11	2025-12-10	ssRNA(+)
PV389014	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 40732361		6366	Netherlands	Solanum lycopersicum		2023-09-25	2025-12-10	ssRNA(+)
PV389015	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41010897		6379	Netherlands	Solanum lycopersicum		2023-09-18	2025-12-10	ssRNA(+)
PV389016	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41010901		6379	Netherlands	Solanum lycopersicum		2023-09-18	2025-12-10	ssRNA(+)
PV389017	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41010926		6380	Netherlands	Solanum lycopersicum		2023-09-12	2025-12-10	ssRNA(+)
PV389018	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41856446		6378	Spain	Solanum lycopersicum	fruit	2024-04-18	2025-12-10	ssRNA(+)
PV389019	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 41874206		6369	Morocco	Solanum lycopersicum	fruit	2024-04-12	2025-12-10	ssRNA(+)
PV389020	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 42036618		6367	Morocco	Solanum lycopersicum	fruit	2024-03-25	2025-12-10	ssRNA(+)
PV389021	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 42067481		6365	Morocco	Solanum lycopersicum	fruit	2024-01-04	2025-12-10	ssRNA(+)
PV389022	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 64919075		6354	China	Solanum lycopersicum		2024-08-16	2025-12-10	ssRNA(+)
PV389023	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65083572		6347	Netherlands	Solanum lycopersicum		2024-03-28	2025-12-10	ssRNA(+)
PV389024	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65083599		6365	Netherlands	Solanum lycopersicum		2024-04-19	2025-12-10	ssRNA(+)
PV389025	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65083644		6376	Netherlands	Solanum lycopersicum		2024-05-17	2025-12-10	ssRNA(+)
PV389026	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 65089499		6362	Netherlands	Solanum lycopersicum		2024-01-22	2025-12-10	ssRNA(+)
PV389027	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66047127		6390	Egypt	Solanum lycopersicum	fruit	2024-03-21	2025-12-10	ssRNA(+)
PV389028	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66551323		6357	Netherlands	Solanum lycopersicum		2024-05-27	2025-12-10	ssRNA(+)
PV389029	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66551341		6374	Netherlands	Solanum lycopersicum		2024-06-03	2025-12-10	ssRNA(+)
PV389030	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66551518		6362	Netherlands	Solanum lycopersicum		2024-02-09	2025-12-10	ssRNA(+)
PV389031	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66551534		6366	Netherlands	Solanum lycopersicum		2024-02-28	2025-12-10	ssRNA(+)
PV389032	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66551569		6367	Netherlands	Solanum lycopersicum		2024-03-20	2025-12-10	ssRNA(+)
PV389033	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66722348		6374	Morocco	Solanum lycopersicum	fruit	2024-05-08	2025-12-10	ssRNA(+)
PV389034	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66742711		6350	Netherlands	Solanum lycopersicum		2023-12-11	2025-12-10	ssRNA(+)
PV389035	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66742867		6355	Netherlands	Solanum lycopersicum		2023-11-17	2025-12-10	ssRNA(+)
PV389036	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66742912		6367	Netherlands	Solanum lycopersicum		2023-10-26	2025-12-10	ssRNA(+)
PV389037	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66742939		6376	Netherlands	Solanum lycopersicum		2023-10-30	2025-12-10	ssRNA(+)
PV389038	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66742981		6365	Netherlands	Solanum lycopersicum		2023-10-11	2025-12-10	ssRNA(+)
PV389039	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66743026		6367	Netherlands	Solanum lycopersicum		2023-10-10	2025-12-10	ssRNA(+)
PV389040	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 66743034		6369	Netherlands	Solanum lycopersicum		2023-10-09	2025-12-10	ssRNA(+)
PV389041	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 72399647		6348	Morocco	Solanum lycopersicum	fruit	2024-03-22	2025-12-10	ssRNA(+)
PV389042	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 24070514-03		6363	Netherlands	Solanum lycopersicum		2024-07-09	2025-12-10	ssRNA(+)
PV389043	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 24080633-02		6379	Netherlands	Solanum lycopersicum		2024-08-06	2025-12-10	ssRNA(+)
PV389044	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 24090205-02		6367	Netherlands	Solanum lycopersicum		2024-08-20	2025-12-10	ssRNA(+)
PV389045	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 24090207-02		6361	Netherlands	Solanum lycopersicum		2024-08-20	2025-12-10	ssRNA(+)
PV389046	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 24090208-02		6384	Netherlands	Solanum lycopersicum		2024-08-21	2025-12-10	ssRNA(+)
PV389047	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 24100304-02		6381	Netherlands	Solanum lycopersicum		2024-10-01	2025-12-10	ssRNA(+)
PV389048	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NPPO-NL 24110388-02		6368	Morocco	Solanum lycopersicum	fruit	2024-11-21	2025-12-10	ssRNA(+)
PV389049	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-Gr3		6391	Greece	Solanum lycopersicum		2024-09-30	2025-12-10	ssRNA(+)
PQ628197	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22C		6375	Mexico	Solanum lycopersicum	plant leaf	2020-09	2025-11-21	ssRNA(+)
PV605318	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		22SZ747		6366	China			2022	2025-10-15	ssRNA(+)
PX440281	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV01		805	China	Solanum lycopersicum		2023-11-16	2025-10-07	ssRNA(+)
PX353572	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NC3		945	China			2024	2025-09-24	ssRNA(+)
PX353577	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NW3		583	China			2024	2025-09-24	ssRNA(+)
PX314972	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_M3		560	Italy	Chrysanthemum x morifolium		2025-06	2025-09-20	ssRNA(+)
PX361033	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV_M4		560	Italy	Chrysanthemum x morifolium		2025-06	2025-09-20	ssRNA(+)
PQ592513	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-CAN-A		6390	Canada	Solanum lycopersicum	plant leaf	2021-08-03	2025-09-06	ssRNA(+)
PQ592514	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-CAN-B		6390	Canada	Solanum lycopersicum	plant leaf	2021-08-03	2025-09-06	ssRNA(+)
PQ592515	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV-CAN-C		6390	Canada	Solanum lycopersicum	plant leaf	2021-08-03	2025-09-06	ssRNA(+)
PX121928	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Qalyubia		433	Egypt	Solanum lycopersicum		2024	2025-08-20	ssRNA(+)
PV978367	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TBRFV_PT1		6389	Portugal	Solanum lycopersicum		2024-01-05	2025-08-02	ssRNA(+)
PV978368	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		TBRFV_PT2		6380	Portugal	Solanum lycopersicum		2024-01-05	2025-08-02	ssRNA(+)
PV847828	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		YN2025-ToBRFV		480	China	Nicotiana tabacum		2024-12-18	2025-07-05	ssRNA(+)
PV834958	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ED		6392	Turkey	Solanum lycopersicum	plant leaf	2024	2025-07-02	ssRNA(+)
PQ774335	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToBRFV1-XJ-2024		6264	China	Solanum lycopersicum		2024	2025-06-12	ssRNA(+)
PV664163	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Samarqand		1820	Uzbekistan			2024-05-24	2025-06-11	ssRNA(+)
PV701254	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		SCh_ToBRFV_01		6389	China	Solanum lycopersicum		2025	2025-06-10	ssRNA(+)
PV701255	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		YN_ToBRFV_02		6389	China	Solanum lycopersicum		2025	2025-06-10	ssRNA(+)
PV701256	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		JY_ToBRFV_03		6389	China	Solanum lycopersicum		2025	2025-06-10	ssRNA(+)
PV701257	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		XZ_ToBRFV_04		6389	China	Solanum lycopersicum		2025	2025-06-10	ssRNA(+)
PP916473	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yaz.Kha.To		480	Iran	Solanum lycopersicum	plant leaf	2024-01-31	2025-06-01	ssRNA(+)
PP916474	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yaz.Mo.To1		480	Iran	Solanum lycopersicum	plant leaf	2024-01-31	2025-06-01	ssRNA(+)
PP916475	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yaz.Ma.To1		480	Iran	Solanum lycopersicum	plant leaf	2024-01-31	2025-06-01	ssRNA(+)
PP916476	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yaz.Fa.To		480	Iran	Solanum lycopersicum	plant leaf	2024-01-31	2025-06-01	ssRNA(+)
PP916477	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yaz.Mo.To2		480	Iran	Solanum lycopersicum	plant leaf	2024-01-31	2025-06-01	ssRNA(+)
PP916478	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yaz.Me.To		480	Iran	Solanum lycopersicum		2024-01-31	2025-06-01	ssRNA(+)
PP916479	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Yaz.Ma.To2		480	Iran	Solanum lycopersicum	plant leaf	2024-01-31	2025-06-01	ssRNA(+)
PQ643185	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb		6381	Albania	Solanum lycopersicum	plant leaf	2023	2025-05-22	ssRNA(+)
PQ643188	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-8		772	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643189	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-9		765	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643190	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-10		773	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643191	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-16		770	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643192	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-18		771	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643193	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-27		764	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643194	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-28		770	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643195	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-34		770	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643196	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-35		771	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PQ643197	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		Alb-36		771	Albania	Solanum lycopersicum	plant leaf	2022	2025-05-22	ssRNA(+)
PV577629	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		NM-2022-ToBRFV		480	China	Solanum lycopersicum		2022-07-13	2025-05-07	ssRNA(+)
PV146433	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		380		6417	Argentina	Solanum lycopersicum	plant leaf	2023-05-24	2025-04-29	ssRNA(+)
PV146434	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		381		6449	Argentina	Solanum lycopersicum	plant leaf	2023-05-19	2025-04-29	ssRNA(+)
PV446604	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-AHL1		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446605	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-AHL2		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446606	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-GRC1		6374	Canada	Solanum lycopersicum		2024	2025-04-14	ssRNA(+)
PV446607	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH3-GRT3		6374	Canada	Solanum lycopersicum		2024	2025-04-14	ssRNA(+)
PV446608	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH1-HAR1		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446609	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH1-HAR2		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446610	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH1-HAR3		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446611	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH1-HAR4		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446612	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH1-HAR5		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446613	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH1-HAR6		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PV446614	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-RAV3		6374	Canada	Solanum lycopersicum		2024	2025-04-14	ssRNA(+)
PV446615	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-TOK1		6374	Canada	Solanum lycopersicum		2024	2025-04-14	ssRNA(+)
PV446616	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-TOK2		6374	Canada	Solanum lycopersicum		2024	2025-04-14	ssRNA(+)
PV446617	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-TOR1		6374	Canada	Solanum lycopersicum		2024	2025-04-14	ssRNA(+)
PV446618	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		GH2-TOV4		6374	Canada	Solanum lycopersicum		2023	2025-04-14	ssRNA(+)
PQ375105	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToV1		423	China	Solanum lycopersicum		2024-09-23	2025-04-09	ssRNA(+)
PQ375106	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToV2		423	China	Solanum lycopersicum		2024-09-23	2025-04-09	ssRNA(+)
PQ375107	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		ToV3		423	China	Solanum lycopersicum		2024-09-23	2025-04-09	ssRNA(+)
PV359952	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MAY2_Chonto		6335	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-08	ssRNA(+)
PV359953	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		7JUN		492	Colombia	Solanum lycopersicum		2024-06	2025-04-08	ssRNA(+)
PV359954	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		8JUN		488	Colombia	Solanum lycopersicum		2024-06	2025-04-08	ssRNA(+)
PV359955	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		9DIC		1058	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-08	ssRNA(+)
PV388913	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		MAY1_Cherry		6335	Colombia	Solanum lycopersicum	plant leaf	2024-05	2025-04-08	ssRNA(+)
PV388914	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		11DIC		296	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-08	ssRNA(+)
PV388915	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		12DIC		1109	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-08	ssRNA(+)
PV350313	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HTS_cherry		1052	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-06	ssRNA(+)
PV350314	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		SLT5_S2		561	Colombia	Solanum lycopersicum		2024-06	2025-04-06	ssRNA(+)
PV350315	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		SLT14_S1		386	Colombia	Solanum lycopersicum		2024-06	2025-04-06	ssRNA(+)
PV350316	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HTS_cherry		1041	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-06	ssRNA(+)
PV350317	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HTS_chonto		1117	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-06	ssRNA(+)
PV350318	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HTS_cherry		162	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-06	ssRNA(+)
PV350319	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		HTS_chonto		162	Colombia	Solanum lycopersicum	plant leaf	2024-12	2025-04-06	ssRNA(+)
PV350320	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		SLT14_S1		706	Colombia	Solanum lycopersicum		2024-06	2025-04-06	ssRNA(+)
PV300244	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		B1		6353	Argentina	Solanum lycopersicum		2022-02-09	2025-03-30	ssRNA(+)
PV300245	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		B2		6255	Argentina	Solanum lycopersicum		2022-03-29	2025-03-30	ssRNA(+)
PV300246	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		B3		6350	Argentina	Solanum lycopersicum		2022-10-24	2025-03-30	ssRNA(+)
PV300247	Tomato brown rugose fruit virus	Tobamovirus fructirugosum	Tobamovirus	Virgaviridae		B4		6334	Argentina	Solanum lycopersicum		2022-12-28	2025-03-30	ssRNA(+)
